,Row,Col,Sym,Diag
123,"(0.3477458133868986, 0.33966422445605693)","(0.3386160467079813, 0.3371792364526184)","(0.3423228901788462, 0.333935253058238)","(0.30940248097718115, 0.3031312704912422)"
124,"(0.44950539010484614, 0.44276275162253087)","(0.37687694861021304, 0.37563439429614176)","(0.43641902456082915, 0.4312319690682249)","(0.40899110565927577, 0.40664827277084237)"
125,"(0.4348211742624951, 0.43133615840301964)","(0.3037688492317936, 0.30287429978858693)","(0.42878275797064835, 0.4243757284539962)","(0.35947918316087324, 0.35821972141811675)"
126,"(0.3920151706034347, 0.38772084966346243)","(0.3302049595951636, 0.32770676608631333)","(0.3793132835814673, 0.3759068456440424)","(0.3947882989544086, 0.3943160536720677)"
127,"(0.3487758396037285, 0.34731020094215503)","(0.28979016930567114, 0.28580404500846124)","(0.3441705477654804, 0.34001927062560766)","(0.34927050725491215, 0.3482885681661449)"
128,"(0.3688813017508331, 0.3669028393215097)","(0.2868302797997311, 0.28548027502064)","(0.36093934013709905, 0.3590957580390619)","(0.3751512441804623, 0.37379003942767997)"
129,"(0.4063071274591038, 0.3984432957733516)","(0.33079447706664744, 0.33029812108575063)","(0.39794339723842975, 0.3924480901305507)","(0.31417332494140426, 0.29845375200884694)"
130,"(0.4299029276637364, 0.4275050664220549)","(0.4448413999600477, 0.44252777249617026)","(0.4268478880658054, 0.4147819421660882)","(0.4264988715505992, 0.4259938652435686)"
131,"(0.36021435041123173, 0.357716745790601)","(0.3039694631980694, 0.3013777486600355)","(0.356799659478814, 0.35314114304375654)","(0.3644119101343598, 0.36269728345066854)"
132,"(0.39191394567736104, 0.38548258746647746)","(0.274077216776174, 0.2716940243047662)","(0.3822648628300749, 0.3751290201402322)","(0.3827459469353077, 0.37100786173598027)"
133,"(0.4352846650754564, 0.42613808381821094)","(0.3588856330931074, 0.35863779153228836)","(0.4289328434892349, 0.41985003802065757)","(0.3533387531035267, 0.3399185742587179)"
134,"(0.39103314856522753, 0.3806698513746093)","(0.3653206454702099, 0.36245868192988295)","(0.3855962341756153, 0.3757050224924995)","(0.38994228883427284, 0.38355643529007016)"
135,"(0.41982754114402243, 0.4155195346057312)","(0.2503396518980786, 0.2491165007208671)","(0.4129484081530489, 0.4090092275707654)","(0.42017801245564723, 0.41833575294207986)"
136,"(0.3681877661842905, 0.3668538223061353)","(0.37584773818469175, 0.375219872779497)","(0.3678752956709793, 0.3632238408414773)","(0.3551765299176368, 0.3547308799085218)"
137,"(0.41827502816683393, 0.41478947332020843)","(0.41468718500215207, 0.41355230699931)","(0.414176410574716, 0.41116783007434843)","(0.4017137835434589, 0.40044345102355605)"
138,"(0.4378409421475147, 0.43372045942571935)","(0.43912747743960834, 0.4379192898285257)","(0.4296766331725784, 0.42552268498755896)","(0.3324046263703653, 0.33104830534397517)"
139,"(0.3532367656943095, 0.351344847870089)","(0.24723455552501694, 0.24668545439981593)","(0.34583856347232045, 0.343713228380214)","(0.35504386614118466, 0.3542931123754316)"
140,"(0.37156372428885587, 0.3697303335240447)","(0.27556353441005044, 0.27442776174539707)","(0.3667341527371989, 0.3643262284320218)","(0.36192949692157195, 0.359481236389991)"
141,"(0.4176526136858707, 0.41320410383218986)","(0.36892718873065966, 0.3669155746131044)","(0.40857900829800464, 0.4060114266979301)","(0.32701125411336673, 0.32566449221863913)"
142,"(0.3252659277142025, 0.3228573160630095)","(0.29174931047281516, 0.29087867044041305)","(0.3212434369756604, 0.31810764078688825)","(0.32432514952721747, 0.3234040421753019)"
143,"(0.44260851814218793, 0.434795296240999)","(0.35527857630566795, 0.35333091300099373)","(0.430527007591905, 0.4230145828485714)","(0.4237107996337246, 0.422189229346077)"
144,"(0.32645232166895133, 0.3239602681090358)","(0.3289063275362807, 0.3275345707316809)","(0.32264491436880727, 0.3207849753227563)","(0.28858291073653686, 0.2873601890142561)"
145,"(0.40857489699793503, 0.40470759912707166)","(0.3622967958504494, 0.3617751690386397)","(0.40154075283557533, 0.3961689311940514)","(0.4052136585925865, 0.4042288975801538)"
146,"(0.4961523917858345, 0.45676202699876967)","(0.3518377479339392, 0.3507217408423349)","(0.4895470785864141, 0.4461705173616676)","(0.4949970986833837, 0.4782536119510127)"
147,"(0.46699538920431094, 0.46548460352694887)","(0.23965359211610326, 0.2384683865437628)","(0.4568047581445973, 0.45387866059414006)","(0.440313965319059, 0.422133640767085)"
148,"(0.3456424351676165, 0.34262591491734495)","(0.2706131750388878, 0.26869806015577213)","(0.3359624885744089, 0.3323192419240667)","(0.3469213803899672, 0.3461182835168873)"
149,"(0.3959647604384944, 0.39493798914228395)","(0.3554630897352533, 0.3540106012142328)","(0.3926574516966408, 0.39135162941718127)","(0.40092548333464484, 0.4006820288474034)"
150,"(0.4714565044867266, 0.4641990480348126)","(0.34236630846149896, 0.3401531221736044)","(0.4549374723370515, 0.4494244953983654)","(0.478320815537453, 0.4754473900835163)"
151,"(0.35308787522749707, 0.33539685993218005)","(0.34847035036422946, 0.3469768310469721)","(0.3359075542412894, 0.32172943835678525)","(0.3436763446006684, 0.33428401446220846)"
152,"(0.3956139542896915, 0.3916276310796055)","(0.3534965520875013, 0.3505634085514405)","(0.38168573786196514, 0.3788722093501986)","(0.39042610443401315, 0.3898207725516727)"
153,"(0.377888929803573, 0.37615591807086357)","(0.3066084172180281, 0.30492548042308276)","(0.3703959628905569, 0.3678663364113899)","(0.37785656300467185, 0.37423346176169475)"
154,"(0.4106914687599953, 0.4063335625469322)","(0.3388032175927804, 0.33662236472752116)","(0.4000874338485978, 0.3955803185261737)","(0.3159665357787814, 0.3046341710795567)"
155,"(0.40323125447155683, 0.39789946792384756)","(0.3172963702385847, 0.3158206020652631)","(0.3860448416734369, 0.3821719021628516)","(0.28923801724753506, 0.28725599295123083)"
156,"(0.3790467113995353, 0.35759401430189386)","(0.37388374373725963, 0.37253019708490676)","(0.36538268202247415, 0.34709559403233525)","(0.37959463204131594, 0.36689542934937985)"
157,"(0.39085085702640054, 0.3869712667034526)","(0.263282070183112, 0.2625774492623587)","(0.3878312497448786, 0.3834460850181445)","(0.3757387571540759, 0.37134701833611916)"
