,Row,Col,Sym,Diag
143,"(0.40658220798888267, 0.40475049065089796)","(0.3683777843609395, 0.36745564245661233)","(0.39899778834293276, 0.3974469302404062)","(0.40365371781644555, 0.40291036908039535)"
144,"(0.5503163556407873, 0.5443948273795882)","(0.4521741238211824, 0.450340758566822)","(0.5378925479300318, 0.5310137653881848)","(0.40052397435259335, 0.4001610439253936)"
145,"(0.48471286319301143, 0.4798940270159262)","(0.290576496077394, 0.2896859444283063)","(0.47447902253880236, 0.4706154308597801)","(0.48017325365101593, 0.4797581183718073)"
146,"(0.40701507776801404, 0.4064414157859395)","(0.36813815784680504, 0.36478469115770307)","(0.3929085823821197, 0.3914439390453226)","(0.40399857666564265, 0.402151850710432)"
147,"(0.3798279380716365, 0.37346651566048483)","(0.34122571578227223, 0.34005959481347936)","(0.376227858426016, 0.36887488397294654)","(0.3948564496525814, 0.3925820827222842)"
148,"(0.34869330272405663, 0.32337913527790707)","(0.36003984970880787, 0.35865596301254665)","(0.34869330272405663, 0.31536005730649497)","(0.3262997436292072, 0.31344598615876146)"
149,"(0.35245915161192776, 0.3504286062170614)","(0.26660844287135943, 0.26498760125394705)","(0.34915628243130836, 0.34284039054495863)","(0.33241610242857034, 0.31663684878178033)"
150,"(0.3467845332974703, 0.3294647370059012)","(0.29742233145222285, 0.2935254414325228)","(0.3318762821649792, 0.3221439690683402)","(0.35367892333873574, 0.34372193809343465)"
151,"(0.40975403045410386, 0.40745613477555676)","(0.3749299621648331, 0.373189652161523)","(0.40335010052163556, 0.4010790407494822)","(0.3665126734432962, 0.36468470725760577)"
152,"(0.4422626382484246, 0.43554460795005934)","(0.3121661835408379, 0.31073165597298547)","(0.43284079955018095, 0.42516933673812995)","(0.43810822129671734, 0.43574392434849213)"
153,"(0.4315662174240362, 0.42501692761455656)","(0.3066712358769349, 0.30559813091129884)","(0.424324854617144, 0.41801347523507426)","(0.4325532083082181, 0.42958087028699626)"
154,"(0.38486550479104176, 0.3716253866160856)","(0.26966129893646595, 0.26659864019913027)","(0.3744584999279811, 0.3502293343126829)","(0.3796161791960514, 0.3663874816788054)"
155,"(0.42522736631819713, 0.42185637290725364)","(0.28634943085240183, 0.2850607692256354)","(0.41936430383415313, 0.41650139442798007)","(0.43021815132551067, 0.4291023596277672)"
156,"(0.3444375739832539, 0.33993293047035467)","(0.3473392859600608, 0.34648625240527753)","(0.3422636461811547, 0.3379003680430126)","(0.337831771374831, 0.33621465390589167)"
157,"(0.44509918406788695, 0.4398865289337651)","(0.379627330607168, 0.3771617764640467)","(0.42799453878910554, 0.42372071385215904)","(0.37537645492827365, 0.3691340211752073)"
